Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
6.68,107.0,25.0,0.0,412.0,82.0,Bad,36.0,14.0,Yes,No
6.44,96.0,94.0,14.0,384.0,120.0,Medium,36.0,18.0,No,Yes
11.85,136.0,81.0,15.0,425.0,120.0,Good,67.0,10.0,Yes,Yes
3.13,130.0,62.0,11.0,396.0,130.0,Bad,66.0,14.0,Yes,Yes
11.62,151.0,83.0,4.0,325.0,139.0,Good,28.0,17.0,Yes,Yes
11.28,123.0,84.0,0.0,74.0,89.0,Good,59.0,10.0,Yes,No
4.17,123.0,96.0,10.0,71.0,118.0,Bad,69.0,11.0,Yes,Yes
4.1,130.0,28.0,6.0,410.0,133.0,Bad,72.0,16.0,Yes,Yes
3.58,142.0,109.0,0.0,111.0,164.0,Good,72.0,12.0,Yes,No
0.37,147.0,58.0,7.0,100.0,191.0,Bad,27.0,15.0,Yes,Yes
5.97,112.0,24.0,0.0,164.0,101.0,Medium,45.0,11.0,Yes,No
10.62,116.0,79.0,19.0,359.0,116.0,Good,58.0,17.0,Yes,Yes
6.52,125.0,48.0,3.0,192.0,116.0,Medium,51.0,14.0,Yes,Yes
12.53,142.0,90.0,1.0,189.0,112.0,Good,39.0,10.0,No,Yes
10.43,77.0,69.0,0.0,25.0,24.0,Medium,50.0,18.0,Yes,No
10.96,115.0,28.0,11.0,29.0,86.0,Good,53.0,18.0,Yes,Yes
8.68,131.0,25.0,10.0,183.0,104.0,Medium,56.0,15.0,No,Yes
7.22,135.0,93.0,2.0,67.0,119.0,Medium,34.0,11.0,Yes,Yes
3.72,139.0,111.0,5.0,310.0,132.0,Bad,62.0,13.0,Yes,Yes
8.74,155.0,80.0,0.0,237.0,124.0,Medium,37.0,14.0,Yes,No
7.6,146.0,26.0,11.0,261.0,131.0,Medium,39.0,10.0,Yes,Yes
12.49,93.0,106.0,12.0,416.0,55.0,Medium,75.0,15.0,Yes,Yes
8.01,128.0,39.0,12.0,356.0,118.0,Medium,71.0,10.0,Yes,Yes
2.66,136.0,65.0,4.0,133.0,150.0,Bad,53.0,13.0,Yes,Yes
10.71,109.0,22.0,10.0,348.0,79.0,Good,74.0,14.0,No,Yes
6.67,156.0,42.0,13.0,170.0,173.0,Good,74.0,14.0,Yes,Yes
11.7,131.0,67.0,7.0,272.0,126.0,Good,54.0,16.0,No,Yes
5.04,123.0,114.0,0.0,298.0,151.0,Bad,34.0,16.0,Yes,No
11.82,113.0,66.0,16.0,322.0,74.0,Good,76.0,15.0,Yes,Yes
5.83,134.0,82.0,7.0,473.0,112.0,Bad,51.0,12.0,No,Yes
9.01,121.0,78.0,9.0,150.0,100.0,Bad,26.0,10.0,No,Yes
2.34,116.0,83.0,15.0,170.0,144.0,Bad,71.0,11.0,Yes,Yes
10.27,125.0,103.0,12.0,371.0,109.0,Medium,44.0,10.0,Yes,Yes
8.33,107.0,115.0,11.0,496.0,131.0,Good,50.0,11.0,No,Yes
9.43,115.0,62.0,11.0,289.0,129.0,Good,56.0,16.0,No,Yes
5.98,124.0,56.0,11.0,447.0,134.0,Medium,53.0,12.0,No,Yes
6.67,116.0,99.0,5.0,298.0,125.0,Good,62.0,12.0,Yes,Yes
13.91,110.0,110.0,0.0,408.0,68.0,Good,46.0,17.0,No,Yes
9.39,117.0,118.0,14.0,445.0,120.0,Medium,32.0,15.0,Yes,Yes
5.74,106.0,33.0,20.0,354.0,104.0,Medium,61.0,12.0,Yes,Yes
7.52,123.0,39.0,5.0,499.0,98.0,Medium,34.0,15.0,Yes,No
6.98,116.0,40.0,0.0,74.0,97.0,Medium,76.0,15.0,No,No
12.57,132.0,102.0,20.0,459.0,107.0,Good,49.0,11.0,Yes,Yes
9.32,119.0,60.0,0.0,372.0,70.0,Bad,30.0,18.0,No,No
4.38,126.0,98.0,0.0,173.0,108.0,Bad,55.0,16.0,Yes,No
3.07,118.0,83.0,13.0,276.0,104.0,Bad,75.0,10.0,Yes,Yes
4.16,85.0,79.0,6.0,325.0,95.0,Medium,69.0,13.0,Yes,Yes
5.35,130.0,58.0,19.0,366.0,139.0,Bad,33.0,16.0,Yes,Yes
7.32,105.0,32.0,0.0,358.0,107.0,Medium,26.0,13.0,No,No
16.27,141.0,60.0,19.0,319.0,92.0,Good,44.0,11.0,Yes,Yes
11.22,111.0,48.0,16.0,260.0,83.0,Good,65.0,10.0,Yes,Yes
6.03,117.0,32.0,0.0,142.0,96.0,Bad,62.0,17.0,Yes,No
9.48,147.0,42.0,10.0,407.0,132.0,Good,73.0,16.0,No,Yes
12.85,123.0,37.0,15.0,348.0,112.0,Good,28.0,12.0,Yes,Yes
6.97,127.0,45.0,19.0,459.0,129.0,Medium,57.0,11.0,No,Yes
5.64,124.0,24.0,5.0,288.0,122.0,Medium,57.0,12.0,No,Yes
6.2,107.0,32.0,12.0,236.0,137.0,Good,64.0,10.0,No,Yes
3.15,117.0,66.0,1.0,65.0,111.0,Bad,55.0,11.0,Yes,Yes
6.254,107.0,117.0,11.0,148.0,118.0,Good,52.0,18.0,Yes,Yes
11.67,125.0,89.0,10.0,380.0,87.0,Bad,28.0,10.0,Yes,Yes
4.47,143.0,120.0,7.0,279.0,147.0,Bad,40.0,10.0,No,Yes
12.44,127.0,90.0,14.0,16.0,70.0,Medium,48.0,15.0,No,Yes
10.71,109.0,22.0,10.0,348.0,79.0,Good,74.0,14.0,No,Yes
11.62,151.0,83.0,4.0,325.0,139.0,Good,28.0,17.0,Yes,Yes
10.62,116.0,79.0,19.0,359.0,116.0,Good,58.0,17.0,Yes,Yes
8.8,145.0,53.0,0.0,507.0,119.0,Medium,41.0,12.0,Yes,No
11.93,123.0,98.0,12.0,408.0,134.0,Good,29.0,10.0,Yes,Yes
4.56,141.0,63.0,0.0,168.0,135.0,Bad,44.0,12.0,Yes,Yes
9.14,134.0,67.0,0.0,286.0,90.0,Bad,41.0,13.0,Yes,No
5.42,103.0,93.0,15.0,188.0,103.0,Bad,74.0,16.0,Yes,Yes
11.99,119.0,26.0,0.0,284.0,89.0,Good,26.0,10.0,Yes,No
9.31,122.0,87.0,9.0,17.0,106.0,Medium,65.0,13.0,Yes,Yes
8.79,130.0,37.0,13.0,297.0,101.0,Medium,37.0,13.0,No,Yes
7.37,130.0,94.0,8.0,137.0,128.0,Medium,64.0,12.0,Yes,Yes
10.81,124.0,113.0,13.0,501.0,72.0,Bad,78.0,16.0,No,Yes
7.41,99.0,93.0,0.0,198.0,87.0,Medium,57.0,16.0,Yes,Yes
8.47,119.0,88.0,10.0,170.0,101.0,Medium,61.0,13.0,Yes,Yes
6.67,116.0,99.0,5.0,298.0,125.0,Good,62.0,12.0,Yes,Yes
4.1,121.0,78.0,4.0,413.0,130.0,Bad,46.0,10.0,No,Yes
5.55,104.0,100.0,8.0,398.0,97.0,Medium,61.0,11.0,Yes,Yes
12.57,138.0,108.0,17.0,203.0,128.0,Good,33.0,14.0,Yes,Yes
10.98,148.0,63.0,0.0,312.0,130.0,Good,63.0,15.0,Yes,No
4.94,137.0,112.0,15.0,434.0,149.0,Bad,66.0,13.0,Yes,Yes
7.99,127.0,59.0,0.0,339.0,99.0,Medium,65.0,12.0,Yes,No
5.68,130.0,64.0,0.0,40.0,106.0,Bad,39.0,17.0,No,No
4.36,125.0,41.0,2.0,357.0,123.0,Bad,47.0,14.0,No,Yes
5.16,115.0,60.0,0.0,119.0,114.0,Bad,38.0,14.0,No,No
